,Title,Date,Score
90,Discovery Tour by Assassin's Creed: Ancient Egypt (PS4),"Feb 20, 2018",tbd
91,South Park: The Stick of Truth (XONE),"Feb 13, 2018",8.3
92,Tom Clancy's Rainbow Six Siege: Advanced Edition (PS4),"Feb 13, 2018",6.5
93,Tom Clancy's Rainbow Six Siege: Advanced Edition (XONE),"Feb 13, 2018",tbd
94,Assassin's Creed Origins: The Hidden Ones (PC),"Jan 23, 2018",7.3
95,Assassin's Creed Origins: The Hidden Ones (PS4),"Jan 23, 2018",7.0
96,Assassin's Creed Origins: The Hidden Ones (XONE),"Jan 23, 2018",7.3
97,South Park: The Fractured But Whole - Danger Deck (PS4),"Dec 19, 2017",6.5
98,South Park: The Fractured But Whole - Danger Deck (XONE),"Dec 19, 2017",tbd
99,South Park: The Fractured But Whole - Danger Deck (PC),"Dec 19, 2017",tbd
100,Steep: Road to the Olympics (PS4),"Dec 5, 2017",6.8
101,Steep: Road to the Olympics (XONE),"Dec 5, 2017",tbd
102,Steep: Road to the Olympics (PC),"Dec 5, 2017",tbd
103,Steep: Winter Games Edition (XONE),"Dec 5, 2017",tbd
104,Steep: Winter Games Edition (PS4),"Dec 5, 2017",tbd
105,Tom Clancy's Rainbow Six Siege - Operation White Noise (PS4),"Dec 5, 2017",tbd
106,Tom Clancy's Rainbow Six Siege - Operation White Noise (PC),"Dec 5, 2017",tbd
107,Tom Clancy's Rainbow Six Siege - Operation White Noise (XONE),"Dec 5, 2017",tbd
108,Tom Clancy's ShadowBreak (iOS),"Nov 29, 2017",tbd
109,Ode (PC),"Nov 27, 2017",7.1
110,Assassin's Creed Origins: The Trials of the Gods (XONE),"Nov 22, 2017",tbd
111,Assassin's Creed Origins: The Trials of the Gods (PC),"Nov 22, 2017",tbd
112,Assassin's Creed Origins: The Trials of the Gods (PS4),"Nov 22, 2017",tbd
113,Mario + Rabbids: Kingdom Battle - Gold Edition (Switch),"Nov 17, 2017",tbd
114,South Park: Phone Destroyer (iOS),"Nov 9, 2017",5.7
115,America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (PS4),"Nov 7, 2017",tbd
116,America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (XONE),"Nov 7, 2017",tbd
117,Jeopardy! (PS4),"Nov 7, 2017",tbd
118,Jeopardy! (XONE),"Nov 7, 2017",tbd
119,Wheel of Fortune (PS4),"Nov 7, 2017",tbd
120,Wheel of Fortune (XONE),"Nov 7, 2017",tbd
121,Uno (Switch),"Nov 7, 2017",6.9
122,Monopoly for Nintendo Switch (Switch),"Oct 31, 2017",6.5
123,Assassin's Creed Origins (PS4),"Oct 27, 2017",7.2
124,Assassin's Creed Origins (XONE),"Oct 27, 2017",7.5
125,Assassin's Creed Origins (PC),"Oct 27, 2017",6.7
126,Just Dance 2018 (PS4),"Oct 24, 2017",6.0
127,Just Dance 2018 (XONE),"Oct 24, 2017",1.8
128,Just Dance 2018 (Switch),"Oct 24, 2017",5.5
129,Just Dance 2018 (X360),"Oct 24, 2017",5.9
130,Just Dance 2018 (PS3),"Oct 24, 2017",2.3
131,Just Dance 2018 (WII),"Oct 24, 2017",5.4
