Date,Open,High,Low,Close,Adj Close,Volume
2000-01-16,13.225000,13.225000,11.375000,12.500000,12.500000,3019440
2000-01-23,12.500000,12.562500,11.752500,12.250000,12.250000,1237132
2000-01-30,12.325000,13.500000,11.900000,13.487500,13.487500,1026692
2000-02-06,13.500000,21.650000,13.487500,19.225000,19.225000,4929320
2000-02-13,20.125000,24.750000,19.250000,19.500000,19.500000,3930376
2000-02-20,17.799999,23.125000,17.275000,23.000000,23.000000,3397148
2000-02-27,23.325001,23.750000,20.000000,21.625000,21.625000,3367420
2000-03-05,23.000000,23.000000,20.674999,21.500000,21.500000,2578340
2000-03-12,20.775000,21.000000,18.500000,19.500000,19.500000,2086864
2000-03-19,19.750000,20.000000,15.000000,15.325000,15.325000,2735600
2000-03-26,16.725000,18.962500,14.125000,15.575000,15.575000,3338444
2000-04-02,16.250000,16.537500,11.250000,15.425000,15.425000,2929380
2000-04-09,15.825000,16.212500,13.000000,13.150000,13.150000,1553904
2000-04-16,11.250000,13.625000,11.250000,13.200000,13.200000,1812276
2000-04-23,13.200000,13.750000,12.225000,12.737500,12.737500,1393320
2000-04-30,12.737500,14.375000,12.737500,14.000000,14.000000,1544488
2000-05-07,14.000000,14.000000,12.575000,13.300000,13.300000,1305856
2000-05-14,13.300000,13.375000,12.155000,12.155000,12.155000,647172
2000-05-21,12.000000,12.247500,9.525000,10.575000,10.575000,1186496
2000-05-28,10.875000,12.100000,10.800000,11.725000,11.725000,1252156
2000-06-04,12.000000,12.000000,11.250000,11.500000,11.500000,535712
2000-06-11,11.500000,11.737500,11.037500,11.172500,11.172500,297348
2000-06-18,11.000000,11.160000,9.532500,9.675000,9.675000,786596
2000-06-25,10.025000,10.850000,9.750000,10.025000,10.025000,1214984
2000-07-02,10.250000,10.250000,9.827500,9.975000,9.975000,292060
2000-07-09,10.000000,10.000000,9.500000,9.750000,9.750000,266580
2000-07-16,9.850000,9.850000,8.750000,8.837500,8.837500,1149604
2000-07-23,8.837500,9.435000,8.680000,9.257500,9.257500,785936
2000-07-30,9.295000,9.742500,9.175000,9.377500,9.377500,394288
2000-08-06,9.452500,9.937500,9.125000,9.935000,9.935000,578488
2000-08-13,9.950000,10.575000,9.875000,10.457500,10.457500,457744
2000-08-20,10.500000,14.087500,10.127500,14.000000,14.000000,3109812
2000-08-27,13.875000,16.100000,13.612500,14.450000,14.450000,2416728
2000-09-03,14.500000,15.500000,14.500000,15.050000,15.050000,821772
2000-09-10,14.825000,14.975000,13.312500,13.875000,13.875000,684832
2000-09-17,13.500000,14.450000,11.252500,13.112500,13.112500,973408
2000-09-24,13.500000,14.375000,12.500000,13.375000,13.375000,1209024
2000-10-01,12.637500,13.212500,11.567500,11.920000,11.920000,726032
2000-10-08,11.850000,11.875000,10.025000,11.310000,11.310000,786188
2000-10-15,11.750000,12.525000,10.300000,12.525000,12.525000,680908
2000-10-22,12.912500,14.500000,12.650000,13.750000,13.750000,759276
2000-10-29,13.750000,13.750000,12.412500,12.750000,12.750000,582920
2000-11-05,12.825000,12.962500,12.000000,12.150000,12.150000,1014396
2000-11-12,11.475000,12.500000,11.475000,11.812500,11.812500,601528
2000-11-19,11.972500,11.972500,10.027500,10.722500,10.722500,1040444
2000-11-26,10.875000,11.000000,9.127500,9.850000,9.850000,2943704
2000-12-03,9.775000,10.275000,9.250000,9.662500,9.662500,863524
2000-12-10,9.687500,11.225000,8.800000,9.297500,9.297500,2109988
2000-12-17,9.252500,9.597500,8.152500,9.500000,9.500000,1113004
2000-12-24,9.125000,10.375000,9.005000,10.375000,10.375000,765680
2000-12-31,10.375000,10.700000,9.375000,9.987500,9.987500,475220
2001-01-07,9.627500,9.875000,8.847500,9.725000,9.725000,1103388
2001-01-14,9.625000,11.025000,9.625000,10.825000,10.825000,847964
2001-01-21,10.875000,11.225000,10.500000,10.720000,10.720000,382796
2001-01-28,10.425000,12.250000,10.085000,12.225000,12.225000,1395676
2001-02-04,11.975000,12.250000,10.825000,10.850000,10.850000,1065660
2001-02-11,10.775000,11.125000,10.042500,10.362500,10.362500,475640
2001-02-18,10.237500,10.237500,8.925000,9.125000,9.125000,572756
2001-02-25,9.175000,9.625000,8.375000,8.522500,8.522500,1073172
2001-03-04,8.540000,9.850000,8.420000,9.487500,9.487500,869276
2001-03-11,9.205000,9.207500,8.050000,8.250000,8.250000,425092
2001-03-18,8.250000,8.575000,7.175000,7.997500,7.997500,746004
2001-03-25,8.000000,9.250000,7.825000,8.872500,8.872500,577280
2001-04-01,8.987500,9.187500,8.097500,8.787500,8.787500,410036
2001-04-08,8.627500,9.650000,8.500000,9.650000,9.650000,356744
2001-04-15,9.650000,10.275000,9.415000,10.100000,10.100000,634096
2001-04-22,10.125000,11.302500,9.627500,11.000000,11.000000,594804
2001-04-29,11.150000,12.022500,10.875000,11.087500,11.087500,1064880
2001-05-06,11.000000,11.050000,10.382500,10.475000,10.475000,349388
2001-05-13,10.625000,11.935000,10.500000,11.247500,11.247500,765372
2001-05-20,11.350000,11.775000,11.177500,11.700000,11.700000,609816
2001-05-27,11.700000,11.712500,11.007500,11.125000,11.125000,342556
2001-06-03,11.125000,11.495000,10.887500,10.975000,10.975000,321108
