Name,Platform,Developer,CriticScore,GlobalSale,ReleaseDate
Catz,GBA,MTO,N/A,0.24,2006-03-22
Go! Sudoku,PSP,Sumo Digital,6.8,0.12,2006-03-21
Go! Sudoku (JP sales),PSP,Sumo Digital,N/A,0.11,2006-03-21
Tom Clancy's Splinter Cell: Essentials,PSP,Ubisoft Montreal,5.6,0.20,2006-03-21
CSI: 3 Dimensions of Murder,PC,Telltale Games,N/A,0.00,2006-03-14
Tom Clancy's Rainbow Six: Critical Hour,XB,Ubisoft Quebec,N/A,0.06,2006-03-14
Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,Ubisoft Paris,N/A,0.01,2006-03-09
Tom Clancy's Ghost Recon Advanced Warfighter,X360,Ubisoft Paris,9.1,1.54,2006-03-09
Tom Clancy's Ghost Recon Advanced Warfighter,XB,Ubisoft Shanghai,N/A,0.33,2006-03-09
Trollz: Hair Affair!,GBA,Powerhead Games,N/A,0.04,2005-11-01
Frantix,PSP,Killer Game,5.4,0.08,2005-09-19
GripShift,PSP,Sidhe Interactive,7.1,0.09,2005-09-12
Tom Clancy's Rainbow Six: Lockdown,PC,Red Storm Entertainment,N/A,0.00,2006-02-16
Drakengard 2,PS2,Cavia Inc.,N/A,0.13,2006-02-14
Exit,PSP,Taito Corporation,7.9,0.08,2006-02-14
Tales of Eternia,PSP,Namco,8.0,0.26,2006-02-10
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Phoenix Games Studio,6.0,0.19,2005-12-20
Battles of Prince of Persia,DS,Ubisoft Montreal,5.6,0.12,2005-12-06
Prince of Persia: Revelations,PSP,"Pipeworks Software, Inc.",6.3,0.21,2005-12-06
Prince of Persia: The Two Thrones,PC,Ubisoft Montreal,N/A,0.00,2005-12-01
Prince of Persia: The Two Thrones,GC,Ubisoft Montreal,8.7,0.15,2005-12-01
Prince of Persia: The Two Thrones,PS2,Ubisoft Montreal,N/A,0.68,2005-12-01
Prince of Persia: The Two Thrones,XB,Ubisoft Montreal,N/A,0.58,2005-12-01
Kong: The 8th Wonder of the World,GBA,Ubisoft Casablanca,N/A,0.47,2005-11-21
Peter Jackson's King Kong: The Official Game of the Movie,X360,Ubisoft Montpellier,7.9,0.26,2005-11-21
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Ubisoft Montpellier,N/A,2.04,2005-11-21
Peter Jackson's King Kong: The Official Game of the Movie,GC,Ubisoft Montpellier,8.1,0.24,2005-11-21
Peter Jackson's King Kong: The Official Game of the Movie,XB,Ubisoft Montpellier,N/A,0.53,2005-11-21
Peter Jackson's King Kong: The Official Game of the Movie,DS,Ubisoft Casablanca,N/A,0.13,2005-11-21
America's Army: Rise of a Soldier,XB,Secret Level,N/A,0.25,2005-11-17
Dogz,GBA,MTO,4.1,0.63,2005-11-17
Flow: Urban Dance Uprising,PS2,Artificial Mind and Movement,N/A,0.04,2005-11-15
Brothers In Arms: Earned In Blood,PS2,Unknown,N/A,0.46,2005-10-28
Heroes of the Pacific,PC,IR Gurus Interactive,N/A,0.02,2005-10-25
"Crouching Tiger, Hidden Dragon",GBA,Ubisoft,5.9,0.03,2005-10-09
Brothers In Arms: Earned In Blood,XB,Unknown,N/A,0.31,2005-10-07
Brothers In Arms: Earned in Blood,PC,Gearbox Software,N/A,0.00,2005-10-06
Darkwatch,PS2,High Moon Studios,N/A,0.32,2005-08-16
Darkwatch,XB,High Moon Studios,N/A,0.21,2005-08-16
Sniper Elite,XB,Rebellion Developments,N/A,0.09,2005-10-18
Sniper Elite,PS2,Rebellion Developments,N/A,0.19,2005-10-18
Heroes of the Pacific,PS2,IR Gurus Interactive,N/A,0.29,2005-09-28
Heroes of the Pacific,XB,IR Gurus Interactive,N/A,0.13,2005-09-28
Far Cry Instincts,XB,Ubisoft Montreal,N/A,0.57,2005-09-27
Lunar: Dragon Song    Read the review,DS,Game Arts / Japan Art Media (JAM),5.9,0.12,2005-09-27
Tom Clancy's Rainbow Six: Lockdown,GC,Red Storm Entertainment,N/A,0.05,2005-09-27
Myst V: End of Ages,PC,Cyan Worlds,N/A,0.00,2005-09-19
Rayman 10th Anniversary,GBA,Ubisoft,N/A,0.02,2005-09-06
Tom Clancy's Rainbow Six: Lockdown,XB,Red Storm Entertainment,N/A,0.41,2005-09-06
Tom Clancy's Rainbow Six: Lockdown,PS2,Red Storm Entertainment,N/A,0.35,2005-09-06
187: Ride or Die,PS2,Ubisoft Paris,N/A,0.15,2005-08-23
187: Ride or Die,XB,Ubisoft Paris,N/A,0.06,2005-08-24
Tom Clancy's Ghost Recon 2: Summit Strike,XB,Red Storm Entertainment,N/A,0.39,2005-08-02
Tom Clancy's Splinter Cell: Chaos Theory,DS,Ubisoft,N/A,0.07,2005-06-28
Bomberman,DS,Hudson Soft,N/A,0.15,2005-06-21
Cold Fear,PC,Darkworks,N/A,0.00,2005-05-17
Star Wars Episode III: Revenge of the Sith,GBA,Ubisoft Montreal,N/A,0.72,2005-05-04
Star Wars Episode III: Revenge of the Sith,DS,Ubisoft Montreal,7.3,0.31,2005-05-04
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Ubisoft Shanghai,N/A,1.25,2004-06-16
Myst IV: Revelation,XB,Ubisoft Montreal,N/A,0.05,2005-03-29
Tom Clancy's Splinter Cell: Chaos Theory,GC,Ubisoft Montreal,7.8,0.10,2005-03-29
Tom Clancy's Splinter Cell: Chaos Theory,PC,Ubisoft Montreal,N/A,0.00,2005-03-28
Tom Clancy's Splinter Cell: Chaos Theory,XB,Ubisoft Montreal,9.4,1.11,2005-03-28
Tom Clancy's Splinter Cell: Chaos Theory,PS2,Ubisoft Montreal / Annecy,N/A,0.95,2005-03-28
Pippa Funnell: The Stud Farm Inheritance,PC,Lexis Numerique,N/A,0.00,2005-03-25
Rayman DS,DS,Ubisoft Montreal,5.4,0.26,2005-03-24
The Bard's Tale,XB,InXile Entertainment,N/A,0.10,2004-10-26
The Bard's Tale,PS2,InXile Entertainment,N/A,0.21,2004-10-26
Tom Clancy's Ghost Recon 2,GC,Red Storm Entertainment,5.7,0.07,2005-03-15
Lumines: Puzzle Fusion    Read the review,PSP,Q Entertainment,9.1,1.11,2005-03-22
Brothers In Arms: Road to Hill 30,PC,Gearbox Software,N/A,0.00,2005-03-15
Rayman: Hoodlum's Revenge,GBA,Ubisoft,6.2,0.06,2005-03-15
Silent Hunter III,PC,Ubisoft Romania,N/A,0.08,2005-03-18
Brothers In Arms: Road to Hill 30,PS2,Gearbox Software,N/A,0.46,2005-03-15
Cold Fear,XB,Darkworks,N/A,0.06,2005-03-15
Cold Fear,PS2,Darkworks,N/A,0.11,2005-03-15
Asphalt: Urban GT,DS,Gameloft,5.0,0.59,2004-11-17
Playboy: The Mansion,PS2,Cyberlore Studios,N/A,0.20,2005-01-25
Playboy: The Mansion,XB,Cyberlore Studios,N/A,0.09,2005-01-25
Brothers In Arms: Road to Hill 30,XB,Gearbox Software,N/A,0.66,2005-03-01
Advance Guardian Heroes,GBA,"Treasure Co., Ltd.",7.0,0.04,2004-09-14
The Settlers: Heritage of Kings,PC,Blue Byte,N/A,0.00,2005-02-24
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,Phoenix Games Studio,N/A,0.13,2005-02-08
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GC,Phoenix Games Studio,N/A,0.07,2005-02-08
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,Phoenix Games Studio,N/A,0.13,2005-02-08
Tork: Prehistoric Punk,XB,Tiwak SAS,N/A,0.03,2005-01-12
CSI: Crime Scene Investigation,XB,369 Interactive,N/A,0.12,2004-12-14
Sprung - A Game Where Everyone Scores,DS,Guillemot Inc,N/A,0.06,2004-12-08
Prince of Persia: Warrior Within,PC,Ubisoft Montreal,N/A,0.00,2004-11-30
Prince of Persia: Warrior Within,GC,Ubisoft Montreal,8.2,0.20,2004-11-30
Prince of Persia: Warrior Within,XB,Ubisoft Montreal,N/A,0.80,2004-11-30
Prince of Persia: Warrior Within,PS2,Ubisoft Montreal,N/A,1.64,2004-11-30
Tom Clancy's Ghost Recon 2,PS2,Red Storm Entertainment,N/A,1.08,2004-11-30
Syberia II,XB,Microids,N/A,0.03,2004-10-05
Alexander,PC,GSC Game World,N/A,0.00,2004-11-23
CSI: Miami,PC,369 Interactive,N/A,0.00,2004-11-16
Tom Clancy's Classic Trilogy,XB,Unknown,N/A,0.10,2004-11-16
Tom Clancy's Ghost Recon 2,XB,Red Storm Entertainment,N/A,1.36,2004-11-16
Harvest Moon: More Friends of Mineral Town,GBA,TOSE Software,8.0,0.20,2005-07-26
Chessmaster,XB,Ubisoft,N/A,0.13,2004-10-26
Pacific Fighters,PC,Maddox Games,N/A,0.00,2004-10-26
Ape Escape: Pumped & Primed,PS2,SCE Japan Studio,N/A,0.08,2004-10-20
Star Ocean: Till The End of Time,PS2,tri-Ace,7.8,1.72,2004-08-31
Myst IV: Revelation,PC,Ubisoft Montreal,N/A,0.01,2004-09-28
Rocky: Legends,XB,Venom Games,N/A,0.10,2004-09-28
Rocky: Legends,PS2,Unknown,N/A,0.27,2004-09-28
The Dukes of Hazzard: Return of the General Lee,XB,Ratbag,N/A,0.08,2004-09-28
The Dukes of Hazzard: Return of the General Lee,PS2,Ratbag,N/A,0.21,2004-09-28
Medabots: Infinity,GC,"Imagineer Co., Ltd.",5.4,0.05,2003-12-14
Star Wars Trilogy: Apprentice of the Force,GBA,LucasArts,N/A,0.42,2004-09-21
Chessmaster 10th Edition,PC,Ubisoft,N/A,0.00,2004-08-20
Tom Clancy's Rainbow Six 3: Black Arrow,XB,Ubisoft Montreal,N/A,1.13,2004-08-04
Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,Ubisoft,6.7,0.08,2004-07-20
Tom Clancy's Rainbow Six 3,GC,Ubisoft Montreal / Red Storm Entertainment,6.5,0.06,2004-06-17
CSI: Dark Motives,PC,369 Interactive,N/A,0.00,2004-03-23
Fatal Frame II: Crimson Butterfly,PS2,Tecmo,7.8,0.16,2003-12-10
Harvest Moon: A Wonderful Life,GC,Marvelous Interactive,8.2,0.79,2004-03-16
Harvest Moon: Friends of Mineral Town,GBA,TOSE Software,7.6,0.59,2003-11-17
Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,Ubisoft,N/A,0.06,2004-03-24
Tom Clancy's Rainbow Six 3,PS2,Ubisoft Montreal / Red Storm Entertainment,N/A,0.81,2004-03-24
Far Cry,PC,Crytek,8.6,0.05,2004-03-23
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Ubisoft Shanghai,9.2,1.48,2004-03-23
Tom Clancy's Splinter Cell: Pandora Tomorrow,PC,Ubisoft Shanghai,N/A,0.00,2004-03-23
Tom Clancy's Ghost Recon: Jungle Storm,PS2,Red Storm Entertainment,N/A,1.16,2004-03-16
Fallout Trilogy,PC,Black Isle Studios,N/A,0.02,2009-04-30
Flipnic: Ultimate Pinball,PS2,Sony Computer Entertainment,N/A,0.06,2005-07-13
Beyond Good & Evil,GC,Ubisoft Montpellier,N/A,0.07,2003-12-11
Monster 4x4: Masters of Metal,GC,Ubisoft Barcelona / Inland Productions,5.1,0.05,2003-12-10
"Crouching Tiger, Hidden Dragon",XB,Genki,N/A,0.01,2003-12-09
Beyond Good & Evil,XB,Ubisoft Montpellier,N/A,0.10,2003-12-02
Prince of Persia: The Sands of Time,PC,Ubisoft Montreal,9.0,0.00,2003-11-30
Monster 4x4: Masters of Metal,PS2,Ubisoft Barcelona / Inland Productions,N/A,0.28,2003-11-25
Lock On: Modern Air Combat,PC,Eagle Dynamics,N/A,0.03,2003-11-24
XIII,GC,Ubisoft Paris,N/A,0.09,2003-11-24
XIII,XB,Southend Interactive,N/A,0.25,2003-11-24
Batman: Rise of Sin Tzu,PS2,Ubisoft Montreal,N/A,0.35,2003-10-16
Beyond Good & Evil,PC,Ubisoft Montpellier,N/A,0.00,2003-11-19
Mucha Lucha! Mascaritas of the Lost Code,GBA,Digital Eclipse,N/A,0.07,2003-11-18
Prince of Persia: The Sands of Time,GC,Ubisoft Montreal,9.0,0.32,2003-11-18
XIII,PC,Ubisoft Paris,N/A,0.00,2003-11-18
XIII,PS2,Ubisoft Paris,N/A,0.57,2003-11-18
Batman: Rise of Sin Tzu,XB,Ubisoft Montreal,N/A,0.11,2003-10-16
Prince of Persia: The Sands of Time,XB,Ubisoft Montreal,9.0,0.94,2003-11-12
Tom Clancy's Rainbow Six 3,XB,Ubisoft Montreal / Red Storm Entertainment,N/A,1.55,2003-11-12
Batman: Rise of Sin Tzu,GC,Ubisoft Montreal,N/A,0.06,2003-11-11
Beyond Good & Evil,PS2,Ubisoft Montpellier,8.3,0.33,2003-11-11
Uru: Ages Beyond Myst,PC,Cyan Worlds,N/A,0.02,2003-11-11
Prince of Persia: The Sands of Time,PS2,Ubisoft Montreal,9.0,2.22,2003-11-06
Prince of Persia: The Sands of Time,GBA,Ubisoft Montreal,N/A,0.15,2003-10-30
Batman: Rise of Sin Tzu,GBA,Ubisoft Montreal,5.5,0.07,2003-10-27
Warlords IV: Heroes of Etheria,PC,Infinite Interactive,N/A,0.00,2003-10-21
"Crouching Tiger, Hidden Dragon",PS2,Light Weight,N/A,0.13,2003-10-09
TRON 2.0,PC,Monolith Productions,N/A,0.00,2003-08-26
Pirates of the Caribbean,XB,Akella,N/A,0.29,2003-07-01
Tom Clancy's Ghost Recon: Island Thunder,XB,Red Storm Entertainment,N/A,0.87,2003-08-06
Charlie's Angels,GC,Neko Entertainment,2.5,0.02,2003-07-09
Ape Escape 2,PS2,SCE Japan Studio,8.0,0.63,2003-06-30
Tom Clancy's Splinter Cell,GBA,Ubisoft,N/A,0.10,2003-04-27
Chessmaster,PS2,Ubisoft Romania,N/A,0.39,2003-05-28
Tom and Jerry: Infurnal Escape,GBA,Cinegroupe,N/A,0.16,2003-03-14
City Racer,GC,Ubisoft,N/A,0.01,2003-04-29
Tom Clancy's Splinter Cell,GC,Ubisoft,N/A,0.23,2003-04-10
Tom Clancy's Ghost Recon,GC,Red Storm Entertainment,N/A,0.15,2003-02-09
Tom Clancy's Splinter Cell,PS2,Ubisoft,N/A,2.65,2003-04-08
CSI: Crime Scene Investigation,PC,369 Interactive,N/A,0.00,2003-03-26
Rayman 3: Hoodlum Havoc,PC,Ubisoft,8.2,0.03,2003-03-24
Rayman 3: Hoodlum Havoc,XB,Ubisoft,7.3,0.07,2003-03-18
Rayman 3: Hoodlum Havoc,PS2,Ubisoft,7.4,0.29,2003-03-17
Tom and Jerry in War of the Whiskers,PS2,VIS Entertainment,N/A,0.26,2002-11-18
Murakumo: Renegade Mech Pursuit,XB,From Software,N/A,0.11,2003-03-05
IL-2 Sturmovik: Forgotten Battles,PC,1C: Maddox Games,N/A,0.02,2003-03-02
Rayman 3: Hoodlum Havoc,GC,Ubisoft,7.4,0.07,2003-03-02
Rayman 3,GBA,Ubisoft,7.9,0.14,2003-03-02
Wild ARMs 3,PS2,Media.Vision,7.6,0.62,2002-10-15
Tom Clancy's Splinter Cell,PC,Ubisoft,N/A,0.01,2003-02-19
Bust-A-Move 3000,GC,Taito Corporation,N/A,0.01,2003-02-12
Disney's The Jungle Book,GBA,Visual Impact,5.0,0.10,2003-02-11
Disney's Treasure Planet,GBA,Disney Interactive,6.3,0.28,2002-10-31
Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,Ubisoft Shanghai,N/A,0.25,2003-02-04
The Sum of All Fears,GC,Red Storm Entertainment,3.2,0.03,2003-01-09
Bratz,GBA,DC Studios,N/A,0.13,2003-03-12
E.T. The Extra-Terrestrial: Interplanetary Mission,PS,Santa Cruz Games,N/A,0.04,2002-12-30
Monster Jam: Maximum Destruction,GC,Ubisoft,N/A,0.05,2002-12-29
Trevor Chan's Capitalism 2,PC,Enlight Software,N/A,0.00,2002-12-16
Lunar Legend,GBA,Magic Rings,7.7,0.19,2002-12-08
Tomb Raider: The Prophecy,GBA,Ubisoft Milan,N/A,0.14,2002-11-12
Disney's PK: Out of the Shadows,GC,Ubisoft,4.0,0.05,2002-12-03
Evolution Worlds,GC,Sting,6.5,0.08,2002-12-02
The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,8.2,2.86,2002-06-06
The Mummy,GBA,Ubisoft,N/A,0.02,2002-11-20
The Sum of All Fears,GBA,Ubisoft,N/A,0.04,2002-11-19
Dogz 5,PC,PF.Magic,N/A,0.00,2002-11-18
Dragon's Lair 3D: Return to the Lair,XB,Dragonstone Software,N/A,0.05,2002-11-18
Rocky,PS2,Rage Software,N/A,0.86,2002-11-18
Rocky,XB,Rage Software,N/A,0.15,2002-11-17
Rocky,GC,Steel Monkeys,7.0,0.09,2002-11-17
Tom Clancy's Splinter Cell,XB,Ubisoft,9.3,3.02,2002-11-17
Pro Rally,GC,Ubisoft,N/A,0.02,2002-11-11
Tom Clancy's Ghost Recon,XB,Red Storm Entertainment,N/A,1.76,2002-11-11
Tom Clancy's Ghost Recon,PS2,Red Storm Entertainment,N/A,1.94,2002-11-11
Disney's PK: Out of the Shadows,PS2,Ubisoft,N/A,0.12,2002-11-01
Worms Blast,GC,Team17 Software,N/A,0.06,2002-10-24
Deathrow: Underground Team Combat,XB,Southend Interactive,N/A,0.06,2002-10-22
Conflict Zone,PS2,MASA Group,N/A,0.21,2002-10-19
Mega Man Battle Network 2,GBA,Capcom,N/A,0.54,2002-06-17
Mega Man Battle Network 2,GBA,Capcom,N/A,0.31,2002-10-18
Disney's Lilo & Stitch,GBA,Digital Eclipse,8.0,1.08,2002-06-07
Moto Racer Advance,GBA,Adeline Software,N/A,0.01,2002-12-05
Wizardry: Tale of the Forsaken Land,PS2,Racjin,N/A,0.09,2001-12-19
Worms World Party,GBA,Team17 Software,N/A,0.05,2002-10-29
Rayman Arena,PS2,Ubisoft,6.7,0.60,2002-09-24
Rayman Arena,GC,Ubisoft,6.2,0.14,2002-09-24
Rayman Arena,PC,Ubisoft,5.1,0.00,2002-09-24
Rayman Arena,XB,Ubisoft,5.0,0.07,2002-09-24
Myst III: Exile,XB,Presto Studios,N/A,0.06,2002-09-22
Myst III: Exile,PS2,Presto Studios,N/A,0.28,2002-09-22
Ultimate Fighting Championship: Throwdown,GC,Opus Studio,6.7,0.08,2002-07-29
Largo Winch .// Commando Sar,PS,Rebellion Developments,N/A,0.02,2002-02-01
Sabrina The Teenage Witch: Potion Commotion,GBA,Ubisoft,N/A,0.11,2002-09-06
Ultimate Fighting Championship: Throwdown,PS2,Opus Studio,N/A,0.32,2002-06-03
Tiger Woods PGA Tour Golf,GBA,Rebellion Developments,N/A,0.04,2002-05-29
Muppet Pinball Mayhem,GBA,Digital Eclipse,7.9,0.00,2002-05-29
Breath of Fire II,GBA,Capcom,8.6,0.19,2002-04-16
Dokapon: Monster Hunter,GBA,"Asmik Ace Entertainment, Inc",6.4,0.00,2001-10-30
Monster Jam: Maximum Destruction,PS2,Ubisoft,N/A,0.65,2002-06-13
Davis Cup Tennis,GBA,Hokus Pokus,6.4,0.02,2002-10-14
The Elder Scrolls III: Morrowind,PC,Bethesda Softworks,8.7,0.00,2002-05-01
Disney's Peter Pan: Return to Never Land,GBA,Crawfish Interactive,4.0,0.11,2002-02-22
Monster Jam: Maximum Destruction,GBA,UDS,N/A,0.10,2002-03-27
Disney's Donald Duck: Goin' Quackers,GC,Ubisoft Montreal,N/A,0.04,2002-03-25
Chessmaster,GBA,Ubisoft,7.5,0.04,2002-08-28
Ice Age,GBA,A2M,4.2,0.38,2002-03-18
Tom Clancy's Rainbow Six: Rogue Spear,GBA,Ubisoft Milan,N/A,0.11,2002-03-18
Grandia II,PC,Game Arts,7.7,0.00,2002-03-10
Mike Tyson Boxing,GBA,Virtuacraft,N/A,0.04,2002-03-06
Destroyer Command,PC,Ultimation Inc,N/A,0.00,2002-02-14
Sunny Garcia Surfing,PS2,Krome Studios,N/A,0.03,2001-10-22
Grandia II,PS2,Game Arts,7.4,0.29,2002-01-28
Salt Lake 2002,GBA,DC Studios,N/A,0.06,2002-01-19
Jade Cocoon 2,PS2,Genki,N/A,0.10,2001-12-17
Breath of Fire,GBA,Capcom,7.8,0.22,2001-12-13
Razor Freestyle Scooter,GBA,Crawfish Interactive,N/A,0.01,2001-11-14
Scrabble,PS,Runecraft,N/A,0.25,1999-10-31
American Bass Challenge,GBA,Starfish,6.7,0.05,2001-12-05
The Legend of Alon D'ar,PS2,Stormfront Studios,N/A,0.08,2001-12-04
Planet of the Apes,GBA,Torus Games,N/A,0.03,2001-11-30
Super Bust-A-Move,GBA,Taito Corporation,N/A,0.05,2001-11-27
IL-2 Sturmovik,PC,1C Maddox Games,N/A,0.01,2001-11-18
Batman: Vengeance,GC,Ubisoft Montreal,7.0,0.26,2001-11-17
Disney's Tarzan Untamed,GC,Ubisoft Montreal,N/A,0.18,2001-11-17
Super Dodge Ball Advance,GBA,Atlus Co.,N/A,0.20,2001-06-10
Disney's Donald Duck Advance,GBA,Ubisoft,6.5,0.07,2001-11-15
Disney's Tarzan Untamed,PS2,Ubisoft Montreal,N/A,0.41,2001-11-14
Silent Hunter II,PC,Ultimation Inc.,N/A,0.00,2001-11-05
Super Street Fighter II: Turbo Revival,GBA,Capcom,N/A,0.25,2001-10-30
Batman: Vengeance,GBA,Ubisoft,6.2,0.18,2001-10-30
Batman: Vengeance,PS2,Ubisoft Montreal,7.1,0.55,2001-10-15
Scooby-Doo and the Cyber Chase,GBA,Software Creations,N/A,0.41,2001-12-31
Final Fight One,GBA,Capcom,8.2,0.21,2001-09-26
Men in Black: The Series,GBA,David A. Palmer Productions,N/A,0.00,2001-09-01
Inspector Gadget: Gadget's Crazy Maze,PS,Vision Media Engineering,N/A,0.05,2001-08-15
Rayman Advance,GBA,Digital Eclipse,8.4,0.50,2001-06-10
Tom Clancy's Rainbow Six: Rogue Spear,PS,Saffire Corporation,N/A,0.23,2001-03-28
Myst III: Exile,PC,Presto Studios,N/A,0.00,2001-05-08
Batman: Gotham City Racer,PS,Sinister Games,N/A,0.05,2001-04-19
Tigger's Honey Hunt,N64,Rivage Games,7.3,0.20,2000-11-01
EverGrace,PS2,From Software,6.2,0.35,2000-10-24
Grandia,PS,Game Arts,8.4,0.25,1999-09-30
Harvest Moon 2 GBC,GB,Victor Interactive Software,N/A,0.12,2000-09-11
Kengo: Master of Bushido,PS2,LightWeight,N/A,0.39,2001-01-03
Armored Core 2,PS2,From Software,N/A,0.79,2000-10-24
Rayman 2: Revolution,PS2,Ubisoft,8.7,0.30,2001-01-30
Harvest Moon: Back to Nature,PS,Victor Interactive Software,N/A,0.32,2000-11-22
Batman Beyond: Return of the Joker,N64,Kemco,2.0,0.09,2000-12-13
Dragon Tales: Dragon Seek,PS,Zed Two Limited,N/A,0.09,2000-11-29
Ultimate Fighting Championship,PS,Opus Studio,N/A,0.25,2000-11-13
Eternal Ring,PS2,From Software,N/A,0.30,2000-10-24
Disney's Donald Duck: Goin' Quackers,N64,Disney Interactive Studios,N/A,0.10,2000-12-20
Gold and Glory: The Road to El Dorado,PS,Revolution Software,N/A,0.06,2000-12-19
Batman Beyond: Return of the Joker,PS,Kemco,N/A,0.17,2000-11-20
Disney's Donald Duck: Goin' Quackers,PS2,Disney Interactive Studios,N/A,0.08,2000-12-13
Walt Disney's The Jungle Book: Rhythm N'Groove,PS,Ubisoft,N/A,0.09,2000-12-08
Grandia II,DC,Game Arts,8.6,0.20,2000-12-06
Tom and Jerry in House Trap,PS,Warthog,N/A,0.20,2000-11-24
Disney's Donald Duck: Goin' Quackers,PS,Disney Interactive Studios,N/A,0.15,2000-11-14
Tigger's Honey Hunt,PS,Doki Denki,N/A,0.28,2000-09-29
Rayman 2: The Great Escape,PS,Ubisoft Shanghai,8.7,0.32,2000-09-15
The Flintstones: Bedrock Bowling,PS,Adrenalin Interactive,N/A,0.13,2000-09-19
Tom and Jerry in Fists of Furry,N64,VIS Entertainment,N/A,0.16,2000-11-12
Surf Riders,PS,ACOT,N/A,0.13,2000-08-01
Razor Freestyle Scooter,PS,Shaba Games,N/A,0.46,2000-12-11
SnoCross Championship Racing,PS,UDS,N/A,0.93,2000-08-22
The Dukes of Hazzard: Racing for Home,PS,Sinister Games,N/A,1.19,1999-11-30
Rocket: Robot on Wheels,N64,Sucker Punch,8.3,0.12,1999-11-17
Rayman 2: The Great Escape,N64,Ubisoft,9.0,0.64,1999-10-31
Rayman 2: The Great Escape,PC,Ubisoft Montpellier,9.1,0.00,1999-10-31
Monaco Grand Prix,N64,Ubisoft,N/A,0.04,1999-09-01
All Star Tennis 99,N64,Smart Dog,5.1,0.05,1999-08-31
Tonic Trouble,N64,Ubisoft Montpellier,N/A,0.11,1999-08-31
S.C.A.R.S,N64,Vivid Image,N/A,0.06,1998-12-04
Buck Bumble,N64,Argonaut Games,6.8,0.16,1998-09-30
S.C.A.R.S,PS,Vivid Image,N/A,0.08,1998-08-31
F1 Pole Position 64,N64,Human Entertainment,N/A,0.25,1997-09-30
Rayman Gold,PC,Ubisoft,N/A,0.00,1997-01-01
Street Racer,PS,Vivid Image,N/A,0.16,1996-10-31
Rayman,PS,Ubisoft Montpellier,7.0,3.03,1995-09-01
