id,id,date,text,reposts,comments,like
10,4304083412249125,2018-11-08,"孩子们，已经立冬了，你们好吗？想念大家！<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span> ",315.0,0.0,8781.0
11,4304001132426967,2018-11-08,"恭祝记者朋友们节日快乐！<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span>",112.0,0.0,2572.0
12,4303752158576564,2018-11-07,工匠精神是对所从事的工作锲而不舍，对质量的要求不断提升，精益求精，追求完美和细节，打造极致。我对艺术追求如此，广汽对汽车制造工艺的追求也如此  <a href='/n/大圣车服官微'>@大圣车服官微</a>,112.0,0.0,3051.0
13,4303694818545642,2018-11-07,"父亲说：观众是我的良师益友。我说：网民是我的亲朋同道！今天立冬，希望大家注意防寒保暖，感谢大家多年来对我的支持与理解。恭祝海内外的网民朋友们吉祥如意、心想事成！<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span>🙏 ",179.0,0.0,5889.0
14,4303291183383118,2018-11-06,"<a href='/n/人民网'>@人民网</a> （今天）：82版《西游记》凭啥秒杀&quot;大片&quot; 🙏<span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a data-url=""http://t.cn/EwuQ744"" href=""https://media.weibo.cn/article?object_id=1022%3A2309351000054303261141177639&extparam=lmid--4303291183383118&luicode=10000011&lfid=1076031211441627&id=2309351000054303261141177639"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_article_default.png'></span><span class=""surl-text"">这些细节告诉你 82版《西游记》凭啥秒杀″大片″</span></a> ",321.0,0.0,3116.0
15,4302966443977775,2018-11-05,"《人民日报》海外版(今天）：美猴王金秋回故乡．携《猴王世家》畅谈戏曲文化<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/人民日报海外版-海外网'>@人民日报海外版-海外网</a> <a href='/n/北京长江新世纪'>@北京长江新世纪</a> <a href='/n/长江文艺出版社'>@长江文艺出版社</a> <a href='/n/西西弗书店'>@西西弗书店</a> ",100.0,0.0,2192.0
16,4302724377912910,2018-11-04,"继中国教育电视台四套、厦门卫视、四川卫视、陕西卫视、北京电视台纪实频道、旅游卫视、云南卫视之后， <a href='/n/广西卫视'>@广西卫视</a> 将于<a data-url=""http://t.cn/EwjSjcd"" href=""http://m.weibo.cn/client/version?luicode=10000011&lfid=1076031211441627"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2016/07/04/165/timeline_card_small_checkin_default.png'></span><span class=""surl-text"">11月5日6:45</span></a>  《纪录片》栏目播出我出任总导演并饰演玄奘大师的电视纪录片《重走玄奘路》，该片在第六届温哥华国际华语电影节获得最佳纪录片大奖，我本人获得最佳纪录片导演 ...<a href=""/status/4302724377912910"">全文</a>",140.0,1.0,2926.0
17,4302639087413680,2018-11-04,"<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span>",45.0,0.0,2278.0
18,4302195287591429,2018-11-03,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26q%3D%23%E7%94%B5%E8%A7%86%E5%89%A7%E9%BB%84%E5%9C%9F%E9%AB%98%E5%A4%A9%23%26t%3D10&extparam=%23%E7%94%B5%E8%A7%86%E5%89%A7%E9%BB%84%E5%9C%9F%E9%AB%98%E5%A4%A9%23&luicode=10000011&lfid=1076031211441627"" data-hide=""""><span class=""surl-text"">#电视剧黄土高天#</span></a> 阚卫平导演的又一力作<span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span>🙏 <a href='/n/門敢鼎盛'>@門敢鼎盛</a> <a href='/n/黄土高天官微'>@黄土高天官微</a> ",50.0,0.0,966.0
19,4301992693726966,2018-11-02,"《人民日报》今天(海外版）：美猴王现身上海 助力冬奥会吉祥物<span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span>🙏<a href='/n/人民日报海外版-海外网'>@人民日报海外版-海外网</a> ",82.0,1.0,2453.0
20,4301891666507554,2018-11-02,🙏🙏🙏🙏🙏🙏,48.0,0.0,1523.0
21,4301604499071673,2018-11-01,"<span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span>🙏",55.0,0.0,2095.0
22,4301559640790055,2018-11-01,"继春艺友加油<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/李继春无谓'>@李继春无谓</a> <a href='/n/DJ张景植'>@DJ张景植</a> <a data-url=""http://t.cn/EwVbx6F"" target=""_blank"" href=""https://weibo.cn/sinaurl/blocked4eacc95b?luicode=10000011&lfid=1076031211441627&u=https%3A%2F%2Fwww.ximalaya.com%2Frenwen%2F263415%2F133435905"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",16.0,0.0,1443.0
23,4301546596979877,2018-11-01,"云南师范大学“六小龄童图书阁”（今天）<span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span>🙏<a href='/n/云南师范大学'>@云南师范大学</a> <a href='/n/云师青团'>@云师青团</a> ",218.0,1.0,2874.0
24,4301526635979449,2018-11-01,"“西南联合大学在昆建校暨云南师范大学建校80周年纪念大会”盛典今天上午在大昆明隆重举行<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/贰零壹陆影视传媒'>@贰零壹陆影视传媒</a> <a href='/n/儒意影业'>@儒意影业</a> <a href='/n/行走的禅文化'>@行走的禅文化</a> <a href='/n/游福'>@游福</a> <a href='/n/云师青团'>@云师青团</a> <a href='/n/云南师范大学'>@云南师范大学</a> ",105.0,1.0,2705.0
